,ZINC ID,Global Rank∗,Clustered Rank†,Energy,TC to knowns‡,Cosest neighbor among known DRD4 binders,Top-pick or not,Just from energy window,Energy window,Tested or not,Binder or not,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,SMILES,Vendor ID,Charge from docked poses
0,ZINC000191583186,1,1,-75.5,0.3,ZINC000028347504,0,1,-75,1,1,1390,3860,1730,NT||,82.48,Cc1ccc(C[C@@H](CO)N[C@@H](C)CCc2ccccc2[N+](=O)[O-])cc1,Z1804039468,1
1,ZINC000159533726,2,2,-73.67,0.33,ZINC000103232405,0,1,-75,1,0,,,,NT,2.68,C[C@H](C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)N(C)C[C@@H]1CCC[C@@H]1O,Z1514931360,1
2,ZINC000151228439,3,4,-73.47,0.34,ZINC000053274848,0,1,-75,1,0,,,,NT,17.5,C[C@@H](NC[C@](C)(O)c1ccccc1)c1cn(-c2ccccc2)nn1,Z1419817479,1
3,ZINC000291023493,5,5,-72.95,0.31,ZINC000028363497,0,1,-75,1,0,,,,NT,-10.33,C[C@H](Nc1cc(-n2cccn2)nc(N)n1)[C@H](c1ccccc1)N(C)C,Z2179794811,2
4,ZINC000593577820,7,7,-72.5,0.35,ZINC000036216606,0,1,-75,1,0,,,,NT,11.48,COC(=O)C[C@H]1CSCCN1Cc1cn(-c2cccc(C)c2)nc1C,Z2480456501,1
5,ZINC000642686331,9,9,-72.22,0.29,ZINC000028827117,0,1,-75,1,0,,,,NT,15.21,Clc1ccccc1-c1cc(CN2CCC[C@H]2Cn2cncn2)no1,Z2365642388,1
6,ZINC000378200657,10,10,-72.21,0.3,ZINC000013794104,0,1,-75,1,0,,,,NT,-5.76,c1ncn(C[C@@H]2CCCN2Cc2cc(-c3ccccc3)cs2)n1,Z1473314968,1
7,ZINC000293604393,13,13,-71.7,0.33,ZINC000000403011,0,1,-75,1,0,,,,NT,16.59,C[C@@H](CCc1ccccc1F)N[C@@H](CC(N)=O)c1ccccc1,Z2227129087,1
8,ZINC000365834982,15,15,-71.66,0.35,ZINC000028707233,0,1,-75,1,0,,,,NT,-0.08,C[C@H](C(=O)Nc1cccc2ccccc21)N1CC[C@@](O)(C2CC2)C1,Z1903389042,1
9,ZINC000640099740,16,16,-71.55,0.26,ZINC000059854288,0,1,-75,1,0,,,,NT,-4.08,Cc1sc2nc(CN3CC[C@H](O)[C@H]4CCCC[C@@H]43)nc(O)c2c1C,Z2839510280,1
10,ZINC000495211316,17,17,-71.48,0.36,ZINC000035075447,0,1,-75,1,0,,,,NT,11.99,CC[C@]1(O)CCN(CC(=O)NCc2ccc(F)cc2C(F)(F)F)C1,Z1745851673,1
11,ZINC000367970677,18,18,-71.47,0.32,ZINC000013436895,1,1,-75,1,0,,,,NT,44.4,Cc1ccccc1-n1cc(CN[C@@H]2Cc3ccccc3[C@@H]2O)nn1,Z2146502828,1
12,ZINC000155613934,19,19,-71.46,0.32,ZINC000026260255,0,1,-75,1,0,,,,NT,2.54,CC(C)OC(=O)[C@H](C)N(C)C[C@H](O)Cc1ccccc1C(F)(F)F,Z1498542289,1
13,ZINC000488230856,24,21,-71.18,0.31,ZINC000029549416,0,1,-75,1,0,,,,NT,43.75,CCC1CCC(N(CCO)CC(=O)Nc2cc(F)cc(F)c2)CC1,Z1850909382,1
14,ZINC000067715288,26,22,-71.06,0.32,ZINC000028604399,1,1,-75,1,0,,,,NT,32.19,CC[C@H]1CCCCN1CC(=O)Nc1c(C#N)cnn1-c1ccccc1,Z826979232,1
15,ZINC000613759362,28,23,-70.92,0.35,ZINC000001577051,0,1,-75,1,1,3910,>10000,>10000,NT,65.77,CN(CCc1ccccc1)CC(=O)NCc1ccccc1C(F)(F)F,Z649797178,1
16,ZINC000480496068,29,24,-70.85,0.35,ZINC000034565916,0,1,-75,1,1,2950,>10000,>10000,NT,69.57,COC(=O)c1ccccc1CCN(C)CC(=O)Nc1cccc(Cl)c1,Z1731432632,1
17,ZINC000352657646,31,25,-70.79,0.29,ZINC000013864767,0,1,-75,1,0,,,,NT,-1.02,CCOC(=O)c1nc(-c2ccccc2)oc1CN(C)[C@@H]1CCC[C@@H]1O,Z2070424587,1
18,ZINC000302699560,33,26,-70.73,0.31,ZINC000012523427,0,1,-75,1,0,,,,NT,3.55,Cc1ccc(C[C@@H](CO)CNc2cc(-n3cccn3)nc(N)n2)cc1,Z1828983550,1
19,ZINC000475202287,34,27,-70.73,0.33,ZINC000028357251,0,1,-75,1,0,,,,NT,24.86,OC[C@H](Cc1ccc(F)cc1)NCc1ccc(Cl)cc1-n1cncn1,Z1950598555,1
20,ZINC000521570499,35,28,-70.54,0.35,ZINC000038149991,0,1,-75,1,0,,,,NT,-20.18,Cc1cccc(C)c1NC(=O)CNC(=O)[C@@H](C)N[C@@H]1CCC[C@@H]2C[C@@H]21,Z2313639980,1
21,ZINC000080960073,37,29,-70.48,0.34,ZINC000035075413,0,1,-75,1,0,,,,NT,3.01,C[C@@H](NC(=O)CN1CCC[C@H](c2ncc[nH]2)C1)c1ccc(Cl)cc1,Z1317921632,1
22,ZINC000159509070,43,32,-70.32,0.32,ZINC000034044455,0,1,-75,1,0,,,,NT,29.53,CN(CC(=O)Nc1cc(C(F)(F)F)ccc1Cl)C[C@@H]1CCC[C@@H]1O,Z1514930711,1
23,ZINC000450557088,49,35,-70.2,0.33,ZINC000028370682,1,1,-75,1,0,,,,NT,23.53,C[C@@H](c1ccccc1)[C@H](O)CN(C)CC(=O)Nc1cc(F)cc(F)c1,Z2272919879,1
24,ZINC000359552375,51,36,-70.18,0.31,ZINC000003954895,0,1,-75,1,0,,,,NT,57.3,C[C@H](C(=O)NCc1ccc(F)cc1)N1CC[C@]2(CC[C@@H](C)C2)C1,Z1641308618,1
25,ZINC000270959340,53,38,-70.14,0.32,ZINC000049071762,0,1,-75,1,0,,,,NT,6.14,CC[C@@H]1CN([C@H](C)C(=O)NCc2ccc(Cl)cc2)C[C@@H]1O,Z1535995094,1
26,ZINC000265162697,55,39,-70.12,0.33,ZINC000013738261,0,1,-75,1,0,,,,NT,7.62,COC(=O)c1cc(NC(=O)[C@@H](C)N2CC[C@H](O)C2)cc(C(=O)OC)c1,Z1205295342,1
27,ZINC000345765694,57,40,-70.04,0.31,ZINC000100908824,0,1,-75,1,0,,,,NT,-1.26,CCCNc1ccc(C#N)cc1NC(=O)CN1[C@@H](C)CC[C@@H]1C,Z1414103599,1
28,ZINC000452104081,59,41,-70.02,0.33,ZINC000034444646,0,1,-75,1,0,,,,NT,2.21,C[C@@H](C(=O)Nc1ccc(Cl)cc1C(F)(F)F)N1C[C@H](C)C[C@@H](O)C1,Z2280007038,1
29,ZINC000650720303,62,42,-69.89,0.28,ZINC000013775962,0,1,-75,1,0,,,,NT,37.33,c1ncn(-c2ccccc2CNCC[C@@H]2CCc3ccccc3N2)n1,Z2476631691,1
30,ZINC000280696398,64,44,-69.86,0.32,ZINC000002002619,1,1,-75,1,0,,,,NT,36.41,COc1cc(NC(=O)[C@@H](C2CC2)N2CCCC2)cc(-n2cccn2)c1,Z1944317319,1
31,ZINC000298731694,65,43,-69.86,0.33,ZINC000169351717,0,1,-75,1,0,,,,NT,-19.34,O=C(N[C@H](CO)CN1CCCCC1)c1cc(O)c2ccccc2n1,Z2349243802,1
32,ZINC000372295546,66,46,-69.83,0.33,ZINC000035309621,0,1,-75,1,0,,,,NT,2.57,C[C@H](C(=O)Nc1ccc(OC(F)(F)F)cc1)N1C[C@H](O)C2(CC2)C1,Z1745162463,1
33,ZINC000517755157,70,48,-69.65,0.31,ZINC000043062911,1,1,-75,1,1,5200,>10000,>10000,NT,62.81,C[C@@H](C(=O)NC(C)(C)C)N(C)Cc1cc2ccccc2n(C)c1=O,Z2493434287,1
34,ZINC000373387982,71,49,-69.63,0.3,ZINC000026998033,0,1,-75,1,1,2530,>10000,>10000,NT,68.8,OC1(CNCc2ccc(Cl)cc2-n2cncn2)Cc2ccccc2C1,Z1949610435,1
35,ZINC000619015225,74,51,-69.6,0.29,ZINC000038149991,1,1,-75,1,0,,,,NT,10.62,Cc1cccn2c(NC(=O)[C@@H](C3CC3)N3CCCC3)cnc12,Z2646256771,1
36,ZINC000284910391,80,54,-69.55,0.28,ZINC000004899178,1,1,-75,1,0,,,,NT,16.87,C[C@H](c1ncc(-c2ccc(Cl)cc2)o1)N1CC[C@@](O)(c2c[nH]nn2)C1,Z2054030519,1
37,ZINC000488256763,76,52,-69.55,0.34,ZINC000027865417,0,1,-75,1,0,,,,NT,74.48,C=C(CN[C@H](Cc1ccc(Cl)cc1)C(N)=O)c1ccccc1,Z2112201993,1
38,ZINC000480408888,119,75,-69.05,0.34,ZINC000045386690,1,0,0,1,1,400,>10000,>10000,ND§,89.34,CN(C)[C@@]1(CNC(=O)c2cnn(-c3ccc(Cl)cc3)c2)CCSC1,Z1334411778,1
39,ZINC000367447199,131,83,-68.93,0.33,ZINC000066112127,1,0,0,1,0,,,,NT,54.9,O=C(CN1CC[C@@]2(C1)CCCOC2)Nc1cccc2ccccc21,Z2045840943,1
40,ZINC000573216829,138,88,-68.86,0.35,ZINC000000019662,1,0,0,1,1,1430,>10000,>10000,32720,84.24,Cn1c2ccccc2cc(CN2CC[C@@H]2Cc2ccccc2)c1=O,Z2493180004,1
41,ZINC000130532671,139,89,-68.84,0.3,ZINC000013864767,1,0,0,1,1,320,>10000,>10000,IC50 = 10810,88.77,CCOC(=O)c1nn(-c2ccccc2)cc1CN(C)[C@@H]1CCSC1,Z1563054354,1
42,ZINC000176752603,149,92,-68.76,0.3,ZINC000045358767,1,0,0,1,1,300,>10000,>10000,ND,98.25,O[C@]1(CNCc2cnn(-c3ccc(Br)cc3)c2)CCSC1,Z1328630600,1
43,ZINC000185084297,148,93,-68.76,0.28,ZINC000013471798,1,0,0,1,0,,,,NT,-5.75,C[C@@H](N[C@@H]1Cc2ccccc2[C@@H]1O)c1nc(-c2cccc(F)c2)no1,Z1668299951,1
44,ZINC000343213239,212,128,-68.29,0.33,ZINC000053230219,1,0,0,1,0,,,,NT,64.06,CN(CC(=O)NCCc1csc2ccccc12)[C@@H]1CCSC1,Z1545973023,1
45,ZINC000155719879,221,132,-68.23,0.31,ZINC000101008525,1,0,0,1,1,460,>10000,>10000,7160,90.67,Cc1cc(C(=O)N[C@@H]2CN(C(C)C)C[C@@H]2C)cc([N+](=O)[O-])c1,Z1401696974,1
46,ZINC000566176942,240,144,-68.14,0.35,ZINC000013779413,1,0,0,1,0,,,,NT,45.66,C[C@H](C(=O)Nc1ccc(Cl)cn1)N1CC[C@@H](c2cccnc2)C1,Z2437523428,1
47,ZINC000117348217,278,158,-67.93,0.33,ZINC000036276693,0,1,-68,1,0,,,,NT,0.05,CC(C)[C@H]1CCCCN1Cc1nc2sc3c(c2c(=O)[nH]1)CCC3,Z1223122416,1
48,ZINC000377646411,279,161,-67.93,0.28,ZINC000013863616,0,1,-68,1,0,,,,NT,-0.18,CCOC(=O)c1cnn(C)c1NC(=O)CN1CC[C@@](CO)(C(C)C)C1,Z2169715495,1
49,ZINC000135539613,283,162,-67.92,0.33,ZINC000028370634,0,1,-68,1,0,,,,NT,11.92,O=C(CN1CCS[C@H]2COCC[C@@H]21)Nc1ccc(Br)cc1,Z1447379720,1
50,ZINC000289915250,281,163,-67.92,0.3,ZINC000027421571,1,1,-68,1,0,,,,NT,-2.38,Cc1ccccc1-n1cc(CNC[C@@](C)(O)c2ccsc2)nn1,Z2146519895,1
51,ZINC000332615244,301,173,-67.83,0.33,ZINC000027561312,0,1,-68,1,0,,,,NT,-7.44,C[C@@H]1CCCN(C(C)(C)CNC(=O)[C@@H](O)Cc2ccccc2)C1,Z1950535053,1
52,ZINC000304720724,314,179,-67.76,0.32,ZINC000000022989,0,1,-68,1,0,,,,NT,21.53,CN(CCO)Cc1cn(-c2ccccc2)nc1-c1cccs1,Z1337742410,1
53,ZINC000547642529,317,180,-67.76,0.34,ZINC000040877139,0,1,-68,1,0,,,,NT,3.31,Clc1ccc(-n2cc(CN[C@@H]3CCn4ccnc4C3)nn2)c(Cl)c1,Z1745208515,1
54,ZINC000112857579,325,185,-67.71,0.33,ZINC000040898183,0,1,-68,1,0,,,,NT,-10.97,CC(C)[C@@H](C(=O)N[C@H](C)c1nc2ccccc2[nH]1)N1CCCCC1,Z1190760943,1
55,ZINC000451479054,329,187,-67.7,0.31,ZINC000013579687,1,1,-68,1,0,,,,NT,7.31,CC1(C)[C@H](NCC(=O)Nc2ccc([N+](=O)[O-])cc2Cl)[C@H]2CCCO[C@H]21,Z2277618957,1
56,ZINC000609540377,327,186,-67.7,0.34,ZINC000004117522,1,1,-68,1,1,3850,>10000,>10000,NT,66.85,C[C@H](C(=O)Nc1cccc([N+](=O)[O-])c1)N1CC[C@@H](c2ccco2)C1,Z1176603086,1
57,ZINC000298433681,337,189,-67.66,0.36,ZINC000095605322,0,1,-68,1,0,,,,NT,7.65,CC(C)COC[C@H](O)CN(C)CC(=O)Nc1cccc(Cl)c1,Z382759268,1
58,ZINC000355327118,338,190,-67.66,0.32,ZINC000027561312,1,1,-68,1,0,,,,NT,56.28,CN1CCCC(C)(C)[C@H]1CNC(=O)c1cnnc(-c2ccccc2)c1,Z2174536426,1
59,ZINC000267294321,354,197,-67.59,0.36,ZINC000001107787,0,1,-68,1,0,,,,NT,-1.32,C[C@H](C(=O)Nc1ccc2ccccc2c1)N1CC[C@](C)(O)C1,Z1337919840,1
60,ZINC000375299581,355,198,-67.59,0.32,ZINC000001035440,0,1,-68,1,1,180,>10000,>10000,ND,92.06,C#CCOc1ccccc1CN1CC[C@@]2(C1)C(=O)Nc1ccccc12,Z1748285449,1
61,ZINC000247477468,359,200,-67.58,0.25,ZINC000027710267,0,1,-68,1,0,,,,NT,-15.31,C[C@H](C(=O)c1c(N)n(C)c(=O)n(C)c1=O)N1C[C@@H]2CCC[C@H]2C1,Z3149326498,1
62,ZINC000681711644,361,201,-67.56,0.32,ZINC000038149975,0,1,-68,1,0,,,,NT,-5.63,CCc1ccccc1NC(=O)CNC(=O)CN1CC[C@H]2CCC[C@H]21,Z1745775357,1
63,ZINC000615622500,368,204,-67.51,0.34,ZINC000071316579,0,1,-68,1,1,150,>10000,5400,ND,99.52,CN(C)[C@@H](CNC(=O)NC[C@H]1Cc2ccccc21)Cc1ccccc1,Z747080334,1
64,ZINC000248536951,376,205,-67.47,0.26,ZINC000013738277,0,1,-68,1,0,,,,NT,-1.32,C[C@H](C(=O)Nc1sc2c(c1C#N)CCC2)N1CC[C@H]([C@H](C)O)C1,Z1629350929,1
65,ZINC000245899191,386,210,-67.44,0.36,ZINC000004131974,0,1,-68,1,0,,,,NT,65.34,COc1ccc(NC(=O)CN[C@H]2[C@H](C)CCC[C@@H]2C)c([N+](=O)[O-])c1,Z1592552596,1
66,ZINC000375310940,385,211,-67.44,0.32,ZINC000034104858,0,1,-68,1,0,,,,NT,19.79,Cc1ccccc1NC(=O)CN1CC[C@@]2(C1)c1ccccc1NC2=O,Z1745248131,1
67,ZINC000631235817,390,212,-67.42,0.3,ZINC000000021403,0,1,-68,1,1,3570,>10000,>10000,NT,62.75,C[C@](CO)(Cc1ccccc1F)NCc1cn2cc(Cl)ccc2n1,Z2770316700,1
68,ZINC000179028195,400,215,-67.4,0.28,ZINC000026992736,1,1,-68,1,0,,,,NT,86.88,O[C@]1(CNCc2cn(-c3ccccc3)nc2-c2cccs2)CCOC1,Z1514294981,1
69,ZINC000368074394,396,214,-67.4,0.26,ZINC000087666871,0,1,-68,1,0,,,,NT,-19.24,C[C@H]1CC[C@@]2(CCN(CC(=O)c3c(N)n(C)c(=O)n(C)c3=O)C2)C1,Z1641307935,1
70,ZINC000279624908,409,217,-67.37,0.32,ZINC000006717470,0,1,-68,1,1,4210,>10000,>10000,NT,73.47,CC(=O)N1CCC[C@H](CN[C@@H](C)CCc2ccccc2[N+](=O)[O-])C1,Z1951266260,1
71,ZINC000561217259,410,220,-67.37,0.34,ZINC000043062911,0,1,-68,1,1,8090,>10000,>10000,NT,61.4,Cn1c2ccccc2cc(CNC(=O)N[C@H](CN)C2CCCC2)c1=O,Z2363007561,1
72,ZINC000594511648,416,222,-67.33,0.32,ZINC000100908813,0,1,-68,1,0,,,,NT,43.14,C[C@H](CN[C@@H](C)CCc1ccccc1[N+](=O)[O-])C(=O)OC(C)(C)C,Z2504848829,1
73,ZINC000525237972,418,224,-67.32,0.33,ZINC000005760515,0,1,-68,1,1,5910,>10000,>10000,NT,51.42,C[C@H](C(=O)Nc1ccc(O)c2ccccc12)N1CCCCCC1,Z1279229380,1
74,ZINC000247398558,420,225,-67.31,0.35,ZINC000028707233,0,1,-68,1,1,210,>10000,>10000,ND,107.83,CC(C)N1C[C@H](C)[C@H](NC(=O)c2cccc3cc[nH]c32)C1,Z1401959241,1
75,ZINC000421039533,419,226,-67.31,0.35,ZINC000100832062,0,1,-68,1,0,,,,NT,89.54,Cc1ccc(NC(=O)[C@H](C)N2CCC[C@H](CCO)CC2)cc1C,Z2371262427,1
76,ZINC000366646246,422,227,-67.3,0.28,ZINC000028821720,0,1,-68,1,0,,,,NT,11.25,COC(=O)c1c(C)[nH]c(C(=O)[C@@H](C)N2C[C@H](O)C3(CC3)C2)c1C,Z1745150824,1
77,ZINC000251658325,430,231,-67.27,0.35,ZINC000013443458,0,1,-68,1,0,,,,NT,28.46,CC[C@H](C)CN(CC)[C@H](C)C(=O)Nc1cccc(C#N)c1,Z1547554570,1
78,ZINC000331412478,428,232,-67.27,0.32,ZINC000027198108,0,1,-68,1,0,,,,NT,4.32,C[C@]1(O)CCN(CC(=O)NC[C@@H]2Cc3ccccc3O2)C1,Z1337920823,1
79,ZINC000535316507,427,233,-67.27,0.32,ZINC000013470092,0,1,-68,1,0,,,,NT,28.8,Cn1ccnc1[C@@H]1CCN(Cc2cn3ccccc3c2C#N)C1,Z1523145497,1
80,ZINC000080960915,439,236,-67.25,0.36,ZINC000029046380,0,1,-68,1,0,,,,NT,-3.68,COc1ccccc1CNC(=O)[C@H](C)N1CCC[C@H](c2ncc[nH]2)C1,Z1317921926,1
81,ZINC000459715279,435,234,-67.25,0.32,ZINC000028821367,1,1,-68,1,0,,,,NT,20.22,Cc1cccc(CNC(=O)CN2CC3(CCC3)[C@H]3COC[C@@H]32)c1,Z2313332276,1
82,ZINC000601953994,440,235,-67.25,0.32,ZINC000000838761,0,1,-68,1,1,980,>10000,>10000,ND,88.6,N#Cc1ccnc(SC[C@]2(O)CCN(Cc3ccccc3)C2)c1,Z2790223890,1
83,ZINC000348555593,442,238,-67.24,0.3,ZINC000013814483,0,1,-68,1,1,2720,>10000,>10000,NT,53,CN(Cc1cn(-c2ccc(Cl)cc2Cl)nn1)[C@H]1CCC[C@H]1O,Z2163938616,1
84,ZINC000640028109,483,255,-67.16,0.29,ZINC000028370634,1,0,0,1,1,810,>10000,>10000,ND,43.08,O=C(CN1C[C@@H](O)C[C@@H]1C1CC1)Nc1ccc(Br)cc1,Z2839008466,1
85,ZINC000466408491,509,274,-67.07,0.27,ZINC000089774816,1,0,0,1,1,3920,4780,5430,265,94.4,OC[C@@H](CNCc1cn2cc(Cl)ccc2n1)CC1CCCC1,Z1984566469,1
86,ZINC000374410673,587,298,-66.9,0.33,ZINC000013756895,1,0,0,1,0,,,,NT,7.98,C[C@H](C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)N1CC[C@H]([C@@H]2CCOC2)C1,Z1493895578,1
87,ZINC000023991615,605,307,-66.86,0.36,ZINC000027650342,1,0,0,1,0,,,,NT,6.31,CCCCN(C)[C@@H](C)C(=O)Nc1cc([N+](=O)[O-])ccc1OC,Z44505175,1
88,ZINC000362430581,614,310,-66.85,0.33,ZINC000028568605,1,0,0,1,0,,,,NT,32.25,C[C@H](C(=O)NCc1ccccc1Cl)N1C[C@H](C)[C@H](C)C1,Z1366536140,1
89,ZINC000425345543,610,311,-66.85,0.36,ZINC000014982453,1,0,0,1,1,2540,>10000,>10000,31550,85.8,COc1cc(NC(=O)CN[C@@H]2CC[C@@H](C)[C@H](C)C2)cc(OC)c1,Z2411792777,1
90,ZINC000651686924,619,317,-66.84,0.34,ZINC000036216606,1,0,0,1,1,2570,>10000,>10000,21490,75.7,Cc1nn(-c2cccc(C)c2)cc1CN[C@@H]1c2ccccc2C[C@@H]1O,Z2480567996,1
91,ZINC000450226409,658,333,-66.74,0.33,ZINC000001249433,1,0,0,1,0,,,,NT,24.3,C[C@@H](c1ccccc1)[C@H](O)CN(C)Cc1ccccc1[N+](=O)[O-],Z2271106779,1
92,ZINC000661656736,715,355,-66.61,0.34,ZINC000035075446,1,0,0,1,0,,,,NT,31.4,C[C@H](C(=O)Nc1cccc(C(F)(F)F)c1)N(C)CC1=CCCOC1,Z2603602852,1
93,ZINC000271789537,716,356,-66.6,0.32,ZINC000013724936,1,0,0,1,0,,,,NT,4.78,C[C@@H](NCC1(O)CCOCC1)c1cccc(N2CCCC2)c1,Z1591431532,1
94,ZINC000368226385,770,379,-66.51,0.33,ZINC000028015089,1,0,0,1,1,1170,>10000,>10000,NT,71.18,C[C@H](NCc1c[nH]c(-c2ccc(Cl)cc2)n1)[C@H]1CCCO1,Z1667410498,1
95,ZINC000497495625,794,388,-66.48,0.33,ZINC000022941341,1,0,0,1,0,,,,NT,59.39,Cc1ccsc1CNC(=O)CN1CCC[C@H]1C1CCCC1,Z740036892,1
96,ZINC000072898724,808,392,-66.45,0.29,ZINC000038320550,1,0,0,1,0,,,,NT,1.06,CC(=O)c1ccc(NC(=O)[C@@H](C)N2CCC3(C2)CCOCC3)cc1,Z1301343957,1
97,ZINC000610680867,864,412,-66.34,0.27,ZINC000038149975,1,0,0,1,0,,,,NT,13.4,CCc1ccccc1NC(=O)CN(C)CCn1c(C)ncc1[N+](=O)[O-],Z139871014,1
98,ZINC000293543779,882,420,-66.3,0.31,ZINC000013553234,1,0,0,1,1,1210,>10000,>10000,133,88.56,C[C@H]1CN(C2CC2)C[C@H]1NC(=O)c1cnc2c(F)ccc(F)c2c1,Z2222961075,1
99,ZINC000357551804,937,438,-66.22,0.33,ZINC000012356447,1,0,0,1,0,,,,NT,39.11,CC[C@H]1CC[C@H](C)N1CC(=O)NCCc1cccc2cccnc21,Z1580077626,1
100,ZINC000639558608,946,443,-66.2,0.29,ZINC000028707267,1,0,0,1,0,,,,NT,22.18,C[C@H](c1nnc(-c2ccc3ccccc3c2)o1)N1C[C@@H](C)[C@@H](O)C1,Z2834881319,1
101,ZINC000562713783,1045,481,-66.04,0.34,ZINC000013862867,1,0,0,1,0,,,,NT,41.37,O=S(=O)(N[C@@H]1CCN(C2CCCC2)C1)c1cc2cc(F)ccc2o1,Z2276205003,1
102,ZINC000135488461,1064,487,-66.01,0.34,ZINC000028259401,1,0,0,1,0,,,,NT,47.51,CSC[C@H]1CCCN1CC(=O)Nc1ccc(C(C)=O)cc1,Z1447348305,1
103,ZINC000154146881,1090,504,-65.97,0.33,ZINC000006036825,1,0,0,1,0,,,,NT,18.13,COc1ccc(CNC(=O)CN(C)[C@H]2CCSC2)c(OC)c1,Z1525036225,1
104,ZINC000419278537,1095,502,-65.97,0.32,ZINC000013491639,1,0,0,1,1,1130,>10000,>10000,ND,81.25,CC[C@]1(O)CCN(Cc2cc(-c3ccccc3Cl)on2)C1,Z2365760507,1
105,ZINC000290372608,1134,519,-65.94,0.34,ZINC000072104754,1,0,0,1,0,,,,NT,58.69,O[C@H]1c2ccccc2OC[C@@H]1NC1CC(c2ccccc2)C1,Z2149135950,1
106,ZINC000377628890,1162,532,-65.9,0.36,ZINC000026265994,1,0,0,1,0,,,,NT,48.56,COc1cccc(CNC2CC(c3cccc(C)c3)C2)c1O,Z2164731569,1
107,ZINC000591068587,1236,571,-65.8,0.31,ZINC000027562854,1,0,0,1,0,,,,NT,43.46,CCN1C[C@H](C)[C@H](NC(=O)[C@@H]2C[C@H]2c2ccc([N+](=O)[O-])cc2)C1,Z2331318993,1
108,ZINC000609076791,1246,572,-65.79,0.33,ZINC000000057519,1,0,0,1,1,330,>10000,>10000,31540,79.58,Cc1ccc(C(=O)NC[C@@H](C)N2CCCC2)cc1I,Z1092199852,1
109,ZINC000374072306,1257,580,-65.77,0.32,ZINC000027993019,1,0,0,1,0,,,,NT,2.49,O[C@@H]1CCCC[C@H]1[C@@H]1CCCN1Cc1nnc(-c2ccccc2)o1,Z1990109449,1
110,ZINC000572302473,1259,577,-65.77,0.29,ZINC000049071382,1,0,0,1,1,910,>10000,>10000,ND,90.99,CC1(C)CCN(CC(=O)NC[C@@H]2CCC[C@H]2C2CC2)C1,Z2500087700,1
111,ZINC000639585864,1253,579,-65.77,0.3,ZINC000001662344,1,0,0,1,0,,,,NT,-5.76,CN(Cc1nnc(-c2cccc3ccccc32)o1)CC1(O)CCC1,Z2835233372,1
112,ZINC000412694364,1281,589,-65.74,0.36,ZINC000013447125,1,0,0,1,0,,,,NT,17.02,C[C@H]1CN(C(=O)c2cnn(CCF)c2)CCN1Cc1ccccc1,Z2335198815,1
113,ZINC000657699696,1295,593,-65.73,0.32,ZINC000036216606,1,0,0,1,0,,,,NT,34.83,Cc1nn(-c2ccccc2Cl)cc1CNCC(O)(C1CC1)C1CC1,Z2590770874,1
114,ZINC000453018295,1345,608,-65.68,0.33,ZINC000072110125,1,0,0,1,0,,,,NT,43.16,O[C@H](Cc1ccc2ccccc2c1)CN1C[C@]2(CCCO2)[C@H]1C1CC1,Z2285364751,1
115,ZINC000592181028,1397,629,-65.63,0.32,ZINC000038149990,1,0,0,1,0,,,,NT,23.42,C[C@@H]1CC2(CN1CC(=O)Nc1cc(Cl)ccc1C#N)CCOCC2,Z2438290746,1
116,ZINC000433256163,1410,635,-65.61,0.36,ZINC000038149994,1,0,0,1,1,2440,>10000,>10000,ND,77.35,CSc1cccc(NC(=O)[C@H](C)N2CC3(CCC3)C[C@H]2C)c1,Z1873052831,1
117,ZINC000277343296,1419,638,-65.6,0.34,ZINC000034893375,1,0,0,1,1,4070,>10000,>10000,NT,66.08,O[C@]1(CNC2CC(c3cccc(Br)c3)C2)CCSC1,Z1870781655,1
118,ZINC000488122558,1467,653,-65.55,0.33,ZINC000013730129,1,0,0,1,0,,,,NT,54.69,C[C@@H]1CN(Cc2cncc(OCc3ccccc3)c2)C[C@@H]1O,Z1902699411,1
119,ZINC000363675222,1475,660,-65.54,0.35,ZINC000045254338,1,0,0,1,0,,,,NT,56.54,CO[C@H]1CCCN([C@@H](C)C(=O)Nc2ccc(C#N)c(Cl)c2)CC1,Z1646683241,1
120,ZINC000655736376,1526,684,-65.48,0.35,ZINC000036216606,1,0,0,1,0,,,,NT,83.77,CCC(CC)[C@@H](O)CNCc1cn(-c2ccc(C)cc2)nc1C,Z2504661091,1
121,ZINC000657852679,1641,719,-65.37,0.3,ZINC000013862652,1,0,0,1,1,3460,>10000,>10000,NT,76.53,O=C(CN[C@@H]1CCCSCC1)Nc1ccc(Br)cc1,Z2591064247,1
122,ZINC000595834230,1666,728,-65.35,0.33,ZINC000064504069,1,0,0,1,0,,,,NT,53.79,CCOC(=O)c1nc(-c2ccccc2)oc1CN1CCC2(COC2)C1,Z2604817908,1
123,ZINC000268141382,1692,734,-65.33,0.3,ZINC000101008525,1,0,0,1,1,560,>10000,>10000,9930,93.37,C[C@H]1CN(C2CC2)C[C@H]1NC(=O)c1cc2cc([N+](=O)[O-])ccc2s1,Z1410749252,1
124,ZINC000270061995,1741,754,-65.28,0.35,ZINC000101369510,1,0,0,1,0,,,,NT,39.59,O[C@@]1(CNCc2cn(-c3ccc(F)cc3Cl)nn2)CCSC1,Z1517988300,1
